reg_num;cap_price;auc_price;current_time
YP65 GVC;£3,475;"";2022-01-13 19:01:06.397315
HT15 LvJ;£20,550;£14,200;2022-01-13 19:01:26.536491
HT15 LvJ;£20,550;"";2022-01-13 19:02:00.686437
YR16 CKF;£14,000;"";2022-01-13 19:02:37.364343
YR16 CKF;£14,000;£10,500;2022-01-13 19:02:55.802294
BG64 TXV;£12,000;"";2022-01-13 19:03:11.602022
BG64 TXV;£12,000;£12,000;2022-01-13 19:03:32.321932
BG64 TXV;£12,000;£13,100;2022-01-13 19:03:49.962912
YM15 SLU;£4,150;"";2022-01-13 19:04:08.830397
YM15 SLU;£4,150;£ 3,200;2022-01-13 19:04:24.067735
LD12 ARF;£3,050;"";2022-01-13 19:04:45.343898
LD12 ARF;£3,050;£2,300;2022-01-13 19:05:03.271657
LD12 ARF;£3,050;£2,375;2022-01-13 19:05:21.153708
YT17 L2K;£13,950;"";2022-01-13 19:05:37.609398
YT17 LZK;£13,950;£ 12,800;2022-01-13 19:05:55.392022
YT17 LZK;£13,950;£13,075;2022-01-13 19:06:10.847024
YT17 LPL;‘£15,450;£13,100;2022-01-13 19:06:27.328673
YT17 LPL;‘£15,450;"";2022-01-13 19:06:44.191364
YT17 LPL;‘£15,450;£14,125;2022-01-13 19:06:58.525343
YR65 CCY;£5,375;"";2022-01-13 19:07:20.399363
YR65 CCY;£5,375;£3,850;2022-01-13 19:07:35.334169
YR65 CCY;£5,375;£4,125;2022-01-13 19:07:50.772616
YR65 CCY;£5,375;£4,175;2022-01-13 19:08:05.774869
FA17 ERV;£11,600;"";2022-01-13 19:08:20.675564
FA17 ERV;£11,600;"";2022-01-13 19:08:34.2025
FA17 ERV;£11,600;"";2022-01-13 19:08:49.851037
FA17 ERV;£11,600;£ 8,600;2022-01-13 19:09:19.803824
YG17 BUU;£6,450;"";2022-01-13 19:09:45.500887
YG17 BUU;£6,450;£5,800;2022-01-13 19:10:02.024842
NU18 JXW;£11,300;"";2022-01-13 19:10:19.476155
YE68 VMM;£10,950;£ 8,900;2022-01-13 19:10:51.638338
BL18 FIN;£9,175;"";2022-01-13 19:11:08.124571
BL18 FIN;£9,175;£ 8,350;2022-01-13 19:11:24.815201
FE16 DHV;£6,775;£5,700;2022-01-13 19:11:37.777907
FE16 DWY;£6,725;£ 4,500;2022-01-13 19:11:57.991256
FP16 UWS;£7,250;"";2022-01-13 19:12:19.672129
FP16 UWS;£7,250;£5,300;2022-01-13 19:12:32.453427
FP16 UWS;£7,250;£5,800;2022-01-13 19:12:47.614011
FP16 UWS;£7,250;"";2022-01-13 19:13:01.816382
FE16 DZY;£6,225;"";2022-01-13 19:13:20.273431
FE16 DZY;£6,225;£4,350;2022-01-13 19:13:37.408681
YE68 VMJ;£11,100;"";2022-01-13 19:13:55.204248
YE68 VMJ;£11,100;£9,400;2022-01-13 19:14:12.209034
FL66 OGS;£8,575;"";2022-01-13 19:14:25.520171
FL66 OGS;£8,575;£7,900;2022-01-13 19:14:46.556141
FL6s OWJ;£7,800;£ 6,300;2022-01-13 19:15:01.177009
FN66 MXZ;£7,175;£5,000;2022-01-13 19:15:20.759391
FNG6 MXZ;£7,175;£ 6,900;2022-01-13 19:15:47.498935
FN66 MYC;£8,725;£ 6,200;2022-01-13 19:16:03.02682
FN66 MYC;£8,725;"";2022-01-13 19:16:19.291552
FN66 NTY;£8,275;"";2022-01-13 19:16:36.304278
FNG6 NTY;£8,275;£ 8,000;2022-01-13 19:16:49.949807
MJ66 CZE;£11,250;£ 8,600;2022-01-13 19:17:03.279839
M366 CZE;£11,250;£8,775;2022-01-13 19:17:18.587768
FN66 NVP;‘£7,400;£5,700;2022-01-13 19:17:35.711145
FNG6 NVI;£6,750;£ 4,800;2022-01-13 19:17:55.344985
FC16 YVO;£6,950;£5,200;2022-01-13 19:18:25.252389
FC16 YWT;£9,150;£7,000;2022-01-13 19:18:45.957023
FC16 YYJ;£6,600;£ 4,300;2022-01-13 19:19:08.253743
BN15 YBP;£0;£ 3,700;2022-01-13 19:19:29.325197
FA16 OVK;£8,650;£7,200;2022-01-13 19:20:03.686646
FC16 YZ3;£7,050;£5,000;2022-01-13 19:20:36.175626
FA16 PHY;£7,625;£5,900;2022-01-13 19:20:57.445348
DY68 HNJ;£15,900;"";2022-01-13 19:21:34.390436
DY68 HNJ;£15,900;£ 13,600;2022-01-13 19:21:50.538052
DLI7 YIx;£13,350;£10,700;2022-01-13 19:22:06.241413
FP65 UWL;£4,200;£ 2,800;2022-01-13 19:22:34.674715
DT47 EXL;£12,950;£10,000;2022-01-13 19:23:03.99135
Mw70 PDU;£25,700;"";2022-01-13 19:23:27.486683
Mw70 PDU;£25,700;£ 24,800;2022-01-13 19:23:43.912442
BK70 KAX;£ 46,800;£ 43,000;2022-01-13 19:24:00.926186
YR70 VVM;£24,000;"";2022-01-13 19:24:20.280353
YR70 VVM;£24,000;£ 23,100;2022-01-13 19:24:40.850354
YK70 EEA;£26,750;"";2022-01-13 19:24:55.319661
YK70 EEA;£26,750;£ 26,000;2022-01-13 19:25:09.444067
YK70 EEA;£26,750;"";2022-01-13 19:25:36.895296
YK70 EEA;£26,750;"";2022-01-13 19:25:51.824933
MT69 OGR;£33,100;"";2022-01-13 19:26:05.470952
MT69 OGR;£33,100;£ 34,600;2022-01-13 19:26:36.733467
MT69 OGR;£33,100;£ 35,800;2022-01-13 19:26:52.098455
GV69 TNL;£26,100;£ 24,000;2022-01-13 19:27:09.516174
GV69 TNL;£26,100;£ 25,300;2022-01-13 19:27:34.923539
BK70 KGJ;£ 45,300;£ 40,000;2022-01-13 19:27:49.567639
BK70 KGJ;£ 45,300;"";2022-01-13 19:28:13.534164
PE70 ZTS;£29,150;"";2022-01-13 19:28:51.136031
PE70 ZTS;£29,150;£ 27,600;2022-01-13 19:29:07.020906
PE70 ZTS;£29,150;£28,100;2022-01-13 19:29:22.352486
HW70 OGB;£28,250;£ 27,000;2022-01-13 19:29:39.823004
'WM70 AAV;£32,300;"";2022-01-13 19:30:01.734022
'WM70 AAV;£32,300;£ 32,100;2022-01-13 19:30:15.760122
HK70 LOA;£23,300;£ 22,600;2022-01-13 19:30:29.933856
OVv70 GDZ;£29,750;£ 27,000;2022-01-13 19:30:46.303116
KT69 GDI;£15,650;"";2022-01-13 19:31:07.18413
KT69 GDI;£15,650;£ 14,500;2022-01-13 19:31:23.338784
YR69 STX;£11,550;£10,700;2022-01-13 19:31:38.524427
M320 ENE;£20,800;£18,500;2022-01-13 19:31:58.2772
ck20 BNY;£15,400;£14,000;2022-01-13 19:32:27.219857
ck20 BNY;£15,400;£ 14,800;2022-01-13 19:32:42.817619
EA15 NKU;£6,625;"";2022-01-13 19:33:00.502947
DUIS VGA;£7,550;"";2022-01-13 19:33:30.850237
DUIS VGA;£7,550;£5,800;2022-01-13 19:33:51.427732
RE18 SVS;£11,550;"";2022-01-13 19:34:06.414093
RE18 SVS;£11,550;£ 9,450;2022-01-13 19:34:21.546816
DT70 WXC;£25,000;"";2022-01-13 19:34:38.282251
DT70 WXC;£25,000;£ 22,000;2022-01-13 19:34:52.239039
RV20 HGE;£15,550;£13,200;2022-01-13 19:35:06.69065
RV20 HGE;£15,550;£ 13,550;2022-01-13 19:35:27.984848
RV18 GZH;£8,100;£6,700;2022-01-13 19:35:47.867801
RO18 GMX;£11,000;£9,000;2022-01-13 19:36:07.234808
RV70 WCY;£15,500;£12,700;2022-01-13 19:36:39.836661
DU15 ABF;£6,325;"";2022-01-13 19:37:03.919232
DU15 ABF;£6,325;£3,600;2022-01-13 19:37:36.30444
DU15 ABF;£6,325;"";2022-01-13 19:38:01.19964
MM15 HDH;£6,975;"";2022-01-13 19:38:31.509602
MM15 HDH;£6,975;£ 4,900;2022-01-13 19:38:49.473446
MM15 HDH;£6,975;£5,500;2022-01-13 19:39:13.355019
DXx64 WXL,;£6,575;£ 4,000;2022-01-13 19:39:33.281976
DXx64 WXL,;£6,575;£4,225;2022-01-13 19:39:50.055698
BJ67 WJO;£11,450;"";2022-01-13 19:40:07.008579
BJ67 WJO;£11,450;£ 12,300;2022-01-13 19:40:20.271583
HK15 BWH;£8,775;"";2022-01-13 19:40:34.301049
HK15 BWH;£8,775;£5,100;2022-01-13 19:40:49.683167
SG12 EDX;£2,750;"";2022-01-13 19:41:08.963619
SG12 EDX;£2,750;£1,550;2022-01-13 19:41:22.32512
SG12 EDX;£2,750;"";2022-01-13 19:41:41.025567
$368 TWN;£10,900;£9,800;2022-01-13 19:41:56.25353
LINO PDX;£1,350;"";2022-01-13 19:42:22.39376
L946 URP;£0;£200;2022-01-13 19:43:16.052075
x65 GWO;£12,250;"";2022-01-13 19:43:48.365382
kwes UDN;£13,650;£13,800;2022-01-13 16:31:16.441989
